trial,roc_auc,pr_auc,best_threshold,f1_best,precision_best,recall_best,tn,fp,fn,tp,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_split_gain,min_child_samples,max_depth,learning_rate,colsample_bytree
20,0.8888914064880293,0.7860738308637654,0.898108454771879,0.8061581525537429,0.9343065693430657,0.7089230769230769,38295,81,473,1152,1.0,0.1,0.3,95,800,0.1,120,7,0.03,0.85
11,0.8928573307034846,0.7878162043206007,0.8898987719951108,0.8059289900029543,0.9161442006269592,0.7193846153846154,38269,107,456,1169,0.9,0.3,0.7,47,1100,0.01,180,11,0.015,0.75
8,0.8922347621109348,0.7870069310605802,0.8838264418944026,0.8058353594993345,0.9250398724082934,0.7138461538461538,38282,94,465,1160,0.7,0.1,0.0,63,500,0.06,60,7,0.02,0.75
22,0.8912772245473933,0.7875175900601115,0.9189158014136085,0.8054073283524116,0.954468802698145,0.6966153846153846,38322,54,493,1132,0.8,0.7,1.0,63,800,0.1,40,7,0.03,0.75
23,0.894736229374128,0.7870637534716177,0.9199028998886692,0.8052594171992277,0.9529015979814971,0.6972307692307692,38320,56,492,1133,0.7,1.0,1.0,15,1100,0.06,20,11,0.045,0.85
13,0.8892802392520966,0.7855596504599988,0.8730308307849006,0.8050964187322894,0.9139953088350273,0.7193846153846154,38266,110,456,1169,1.0,0.1,0.0,15,800,0.1,120,5,0.06,0.65
6,0.8922445599012204,0.7868403699941084,0.879927762006905,0.8048192771079408,0.91328125,0.7193846153846154,38265,111,456,1169,0.7,0.0,0.3,15,1400,0.01,40,9,0.045,0.85
2,0.893478504193326,0.7873633933560079,0.883582713098357,0.8041450777197147,0.9165354330708662,0.7163076923076923,38270,106,461,1164,0.85,0.3,0.7,95,500,0.03,120,-1,0.03,0.95
19,0.8904074822405029,0.7864583102641143,0.9020210937971953,0.8039492242590311,0.9413707679603633,0.7015384615384616,38305,71,485,1140,1.0,0.1,0.0,31,800,0.01,120,5,0.03,0.75
26,0.8927094337807283,0.7860642807839094,0.9020829030765746,0.8036723163836915,0.9428334714167357,0.7003076923076923,38307,69,487,1138,0.85,0.1,0.05,95,1400,0.03,90,5,0.02,0.95
25,0.8950715350940491,0.7849445750164494,0.9051052454131339,0.8030996829864777,0.9390444810543658,0.7015384615384616,38302,74,485,1140,0.9,0.3,1.0,15,800,0.1,20,-1,0.03,0.95
21,0.8934930485399529,0.786306033973712,0.9061968164198734,0.8022519352563716,0.9367296631059984,0.7015384615384616,38299,77,485,1140,0.9,0.1,0.0,47,500,0.1,120,13,0.02,0.85
29,0.8930505925177595,0.7848960935010076,0.899302047348549,0.8021015761816461,0.9308943089430894,0.7046153846153846,38291,85,480,1145,0.7,1.0,0.05,15,500,0.01,90,-1,0.06,1.0
14,0.8932665768669521,0.7850210663571952,0.9015053240899826,0.8018207282908261,0.9301380991064175,0.7046153846153846,38290,86,480,1145,0.8,1.0,1.0,31,500,0.0,180,11,0.02,0.85
16,0.8906739789291385,0.7857104685755183,0.9236064141113722,0.801138384915912,0.9494097807757167,0.692923076923077,38316,60,499,1126,0.8,2.0,0.05,127,800,0.0,40,9,0.015,1.0
1,0.8940705889899137,0.785430831647266,0.9044365959487546,0.8002798181177323,0.9270664505672609,0.704,38286,90,481,1144,0.9,0.7,0.7,31,1100,0.0,40,11,0.015,1.0
