model,threshold,precision,recall,false_positive_ratio,f1,roc_auc,pr_auc,tp,fp,fn,tn
LightGBM_Base_AUC,0.07228304109533643,0.08249370277078086,0.9009628610729024,0.9175062972292192,0.15114803276797045,0.9007420937419497,0.7765984471223962,655,7285,72,8061
LightGBM_Recall_Constrained_FP_Ratio,0.09463153089718397,0.07899179932465027,0.9009628610729024,0.9210082006753497,0.1452489189488857,0.9000779094454179,0.7895843942046159,655,7637,72,7709
LightGBM_FP_Ratio,0.08410334768463383,0.07659922816044908,0.9009628610729024,0.9234007718395509,0.14119422289286485,0.8990321104872818,0.7835214833238576,655,7896,72,7450
LightGBM_Alert_Precision,0.08410334768463383,0.07659922816044908,0.9009628610729024,0.9234007718395509,0.14119422289286485,0.8990321104872818,0.7835214833238576,655,7896,72,7450
