trial,roc_auc,pr_auc,best_threshold,f1_best,precision_best,recall_best,tn,fp,fn,tp,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_split_gain,min_child_samples,max_depth,learning_rate,colsample_bytree
2,0.8755203005680685,0.6895444152244887,0.7588614319624507,0.6911764705877536,0.8545454545454545,0.5802469135802469,3822,16,68,94,0.85,0.3,0.7,95,500,0.03,120,-1,0.03,0.95
1,0.881418112571491,0.6883359285614011,0.8246759666417641,0.6888888888884089,0.8611111111111112,0.5740740740740741,3823,15,69,93,0.9,0.7,0.7,31,1100,0.0,40,11,0.015,1.0
